order_id,order_date,category,sub_category,region,supply_chain_status,quantity,unit_cost,unit_price,discount_pct,inventory_days
ORD-10000,2023-02-10,Furniture,Tables,West,On-Time,5,336.05,425.6,0.41,131
ORD-10001,2023-10-03,Furniture,,East,Delayed - Customs,2,104.46,112.3,0.53,107
ORD-10002,2023-04-14,Apparel,Shirts,South,On-Time,3,86.98,179.45,0.05,30
ORD-10003,2023-05-21,Apparel,Shirts,East,On-Time,3,381.86,715.95,0.0,32
ORD-10004,2023-10-10,Furniture,Tables,South,On-Time,3,285.08,313.39,0.56,137
ORD-10005,2023-04-24,Apparel,Pants,East,On-Time,5,358.98,642.44,0.05,15
ORD-10006,2023-08-18,Apparel,Shirts,West,On-Time,4,192.53,326.16,0.05,13
ORD-10007,2023-02-16,Apparel,Shirts,North,On-Time,4,178.46,379.27,0.05,43
ORD-10008,2023-01-06,Electronics,Audio,East,Delayed - Transit,4,279.59,375.38,0.41,114
ORD-10009,2023-09-11,Furniture,Desks,South,Delayed - Customs,5,170.45,193.17,0.47,163
ORD-10010,2023-10-20,Furniture,Chairs,North,On-Time,2,274.98,322.75,0.42,88
ORD-10011,2023-11-04,Apparel,Pants,North,Delayed - Customs,3,150.3,190.89,0.62,147
ORD-10012,2023-07-05,Apparel,Footwear,North,On-Time,3,332.15,584.64,0.05,23
ORD-10013,2023-02-20,Apparel,Shirts,East,On-Time,1,262.83,515.39,0.0,46
ORD-10014,2023-07-28,Apparel,Pants,South,On-Time,4,107.27,200.36,0.05,22
ORD-10015,2023-01-12,Furniture,Chairs,West,On-Time,4,365.34,447.13,0.46,100
ORD-10016,2023-11-08,Electronics,Computers,West,On-Time,4,238.66,486.27,0.05,38
ORD-10017,2023-12-06,Furniture,Chairs,East,On-Time,5,322.87,423.92,0.44,115
ORD-10018,2023-01-26,Apparel,Shirts,East,Delayed - Transit,4,280.62,308.34,0.41,110
ORD-10019,2023-01-28,Apparel,Pants,South,On-Time,1,189.95,351.56,0.05,39
ORD-10020,2023-06-22,Furniture,Desks,East,On-Time,2,265.5,329.05,0.05,80
ORD-10021,2023-01-02,Apparel,Shirts,West,On-Time,5,206.16,365.51,0.0,27
ORD-10022,2023-10-25,Apparel,Shirts,North,On-Time,1,189.05,435.07,0.05,31
ORD-10023,2023-12-26,Electronics,Computers,North,Delayed - Customs,2,55.49,65.72,0.48,106
ORD-10024,2023-04-08,Electronics,Accessories,South,On-Time,2,86.15,200.13,0.0,34
ORD-10025,2023-01-14,Apparel,Shirts,South,On-Time,1,91.27,148.69,0.0,21
ORD-10026,2023-12-10,Apparel,Footwear,East,On-Time,3,376.7,664.37,0.05,35
ORD-10027,2023-11-06,Electronics,Accessories,North,On-Time,1,132.74,300.09,0.0,21
ORD-10028,2023-02-13,Furniture,Tables,West,Delayed - Customs,5,177.65,217.33,0.61,138
ORD-10029,2023-10-04,Apparel,Footwear,South,On-Time,5,225.79,363.69,0.0,37
ORD-10030,2023-03-30,Furniture,Tables,South,On-Time,1,174.64,202.27,0.51,124
ORD-10031,2023-03-08,Electronics,Accessories,South,On-Time,3,236.1,494.34,0.05,28
ORD-10032,2023-07-27,Furniture,Desks,North,On-Time,1,285.91,310.65,0.37,119
ORD-10033,2023-10-14,Electronics,Computers,South,On-Time,2,187.35,388.1,0.05,31
ORD-10034,2023-01-12,Furniture,Desks,West,Delayed - Transit,3,216.0,268.93,0.62,134
ORD-10035,2023-04-16,Apparel,Pants,South,On-Time,4,310.64,521.65,0.05,46
ORD-10036,2023-12-11,Electronics,Computers,North,On-Time,4,263.93,464.26,0.05,30
ORD-10037,2023-06-28,Apparel,Shirts,South,On-Time,5,353.79,700.62,0.05,32
ORD-10038,2023-11-29,Apparel,Footwear,South,Delayed - Transit,2,234.89,288.47,0.62,134
ORD-10039,2023-02-24,Apparel,Footwear,East,Delayed - Customs,5,220.34,263.57,0.62,145
ORD-10040,2023-01-14,Apparel,Pants,East,On-Time,1,347.95,566.51,0.05,31
ORD-10041,2023-10-25,Apparel,Footwear,West,On-Time,4,282.73,580.14,0.0,32
ORD-10042,2023-08-05,Electronics,Computers,North,On-Time,1,191.84,362.92,0.05,23
ORD-10043,2023-03-04,Apparel,Pants,East,Delayed - Transit,3,201.29,261.5,0.51,107
ORD-10044,2023-01-18,Apparel,Footwear,East,On-Time,1,360.12,688.7,0.0,46
ORD-10045,2023-07-10,Apparel,Pants,North,On-Time,5,264.93,509.22,0.0,30
ORD-10046,2023-10-23,Furniture,Desks,North,On-Time,2,123.02,135.93,0.41,123
ORD-10047,2023-03-21,Furniture,Desks,West,On-Time,2,71.87,75.49,0.45,118
ORD-10048,2023-04-02,Apparel,Pants,East,On-Time,3,39.86,68.12,0.05,46
ORD-10049,2023-09-16,Apparel,Shirts,West,On-Time,3,31.64,74.4,0.0,36
ORD-10050,2023-10-22,Electronics,Accessories,South,On-Time,5,351.88,651.18,0.05,19
ORD-10051,2023-05-07,Furniture,Chairs,West,Delayed - Customs,4,43.3,50.3,0.45,153
ORD-10052,2023-07-10,Electronics,Audio,North,Delayed - Customs,4,21.6,26.32,0.37,95
ORD-10053,2023-05-14,Furniture,Desks,South,On-Time,5,41.62,48.91,0.43,139
ORD-10054,2023-09-03,Furniture,Chairs,East,On-Time,3,64.49,80.93,0.41,104
ORD-10055,2023-10-03,Electronics,Computers,West,On-Time,5,243.55,550.92,0.0,45
ORD-10056,2023-03-06,Furniture,Tables,East,On-Time,1,388.56,473.3,0.38,115
ORD-10057,2023-07-23,Furniture,Desks,East,On-Time,5,120.5,130.62,0.05,85
ORD-10058,2023-11-12,Apparel,Pants,South,On-Time,4,53.25,85.85,0.05,20
ORD-10059,2023-05-12,Furniture,,North,On-Time,1,339.82,427.14,0.36,110
ORD-10060,2023-08-17,Apparel,Footwear,North,On-Time,2,200.88,425.11,0.05,38
ORD-10061,2023-01-24,Apparel,Footwear,North,On-Time,4,30.11,57.28,0.05,12
ORD-10062,2023-01-15,Electronics,Accessories,North,On-Time,4,206.63,410.23,0.05,33
ORD-10063,2023-11-03,Furniture,Chairs,North,On-Time,1,34.83,39.86,0.37,123
ORD-10064,2023-05-12,Electronics,Accessories,South,Delayed - Transit,3,353.32,400.71,0.55,133
ORD-10065,2023-01-12,Electronics,Accessories,East,On-Time,3,394.65,644.53,0.0,59
ORD-10066,2023-08-11,Electronics,Computers,West,On-Time,5,352.86,703.18,0.05,23
ORD-10067,2023-02-28,Apparel,Pants,South,On-Time,5,167.41,398.58,0.0,62
ORD-10068,2023-06-01,Electronics,Accessories,West,On-Time,3,16.6,38.19,0.05,34
ORD-10069,2023-12-29,Electronics,Computers,West,On-Time,4,393.89,633.26,0.0,17
ORD-10070,2023-11-05,Furniture,Chairs,East,On-Time,3,151.69,171.44,0.45,104
ORD-10071,2023-11-16,Apparel,Footwear,North,Delayed - Transit,1,207.21,258.16,0.51,141
ORD-10072,2023-02-17,Apparel,Pants,West,On-Time,1,20.78,43.06,0.05,39
ORD-10073,2023-07-12,Furniture,Chairs,West,Delayed - Customs,2,46.66,61.71,0.63,156
ORD-10074,2023-01-08,Apparel,Footwear,North,Delayed - Transit,5,169.21,208.62,0.39,115
ORD-10075,2023-10-15,Electronics,Audio,South,Delayed - Customs,3,121.04,157.68,0.05,84
ORD-10076,2023-04-12,Apparel,Shirts,South,On-Time,2,258.94,552.53,0.0,42
ORD-10077,2023-04-02,Apparel,Pants,South,On-Time,1,380.11,742.68,0.0,30
ORD-10078,2023-09-07,Apparel,Footwear,North,On-Time,3,170.02,352.77,0.0,11
ORD-10079,2023-06-26,Furniture,Tables,South,On-Time,2,297.91,377.75,0.44,158
ORD-10080,2023-09-26,Electronics,Computers,West,On-Time,5,393.08,915.64,0.05,28
ORD-10081,2023-02-07,Apparel,Pants,South,On-Time,1,100.4,179.06,0.0,36
ORD-10082,2023-08-08,Furniture,Tables,West,On-Time,5,334.67,377.84,0.64,117
ORD-10083,2023-01-29,Apparel,Pants,South,Delayed - Customs,5,156.39,197.0,0.41,109
ORD-10084,2023-04-16,Electronics,Computers,East,On-Time,4,246.52,462.85,0.05,47
ORD-10085,2023-01-13,Electronics,Accessories,South,On-Time,4,36.98,60.18,0.05,23
ORD-10086,2023-06-02,Furniture,Chairs,South,Delayed - Transit,4,288.63,364.76,0.62,140
ORD-10087,2023-06-24,Apparel,Shirts,West,On-Time,1,343.57,564.5,0.0,22
ORD-10088,2023-04-04,Furniture,Desks,West,On-Time,3,71.79,83.93,0.61,87
ORD-10089,2023-11-01,Apparel,Shirts,East,On-Time,2,129.3,292.19,0.05,5
ORD-10090,2023-03-05,Apparel,Pants,North,On-Time,3,219.1,518.5,0.0,52
ORD-10091,2023-11-24,Apparel,Shirts,West,On-Time,1,183.53,420.12,0.05,46
ORD-10092,2023-02-07,Furniture,Chairs,South,On-Time,1,242.16,278.75,0.5,112
