order_id,order_date,category,sub_category,region,supply_chain_status,inventory_days,quantity,unit_cost,unit_price,discount_pct,gross_revenue,total_cost,net_revenue,net_profit,profit_margin_pct
ORD-10000,2023-02-10,Furniture,Tables,West,On-Time,131,5,336.05,425.60,0.41,2128.00,1680.25,1255.52,-424.73,-33.83
ORD-10001,2023-10-03,Furniture,Uncategorized,East,"Delayed - Customs",107,2,104.46,112.30,0.53,224.60,208.92,105.56,-103.36,-97.91
ORD-10002,2023-04-14,Apparel,Shirts,South,On-Time,30,3,86.98,179.45,0.05,538.35,260.94,511.43,250.49,48.98
ORD-10003,2023-05-21,Apparel,Shirts,East,On-Time,32,3,381.86,715.95,0.00,2147.85,1145.58,2147.85,1002.27,46.66
ORD-10004,2023-10-10,Furniture,Tables,South,On-Time,137,3,285.08,313.39,0.56,940.17,855.24,413.67,-441.57,-106.74
ORD-10005,2023-04-24,Apparel,Pants,East,On-Time,15,5,358.98,642.44,0.05,3212.20,1794.90,3051.59,1256.69,41.18
ORD-10006,2023-08-18,Apparel,Shirts,West,On-Time,13,4,192.53,326.16,0.05,1304.64,770.12,1239.41,469.29,37.86
ORD-10007,2023-02-16,Apparel,Shirts,North,On-Time,43,4,178.46,379.27,0.05,1517.08,713.84,1441.23,727.39,50.47
ORD-10008,2023-01-06,Electronics,Audio,East,"Delayed - Transit",114,4,279.59,375.38,0.41,1501.52,1118.36,885.90,-232.46,-26.24
ORD-10009,2023-09-11,Furniture,Desks,South,"Delayed - Customs",163,5,170.45,193.17,0.47,965.85,852.25,511.90,-340.35,-66.49
ORD-10010,2023-10-20,Furniture,Chairs,North,On-Time,88,2,274.98,322.75,0.42,645.50,549.96,374.39,-175.57,-46.89
ORD-10011,2023-11-04,Apparel,Pants,North,"Delayed - Customs",147,3,150.30,190.89,0.62,572.67,450.90,217.61,-233.29,-107.20
ORD-10012,2023-07-05,Apparel,Footwear,North,On-Time,23,3,332.15,584.64,0.05,1753.92,996.45,1666.22,669.77,40.20
ORD-10013,2023-02-20,Apparel,Shirts,East,On-Time,46,1,262.83,515.39,0.00,515.39,262.83,515.39,252.56,49.00
ORD-10014,2023-07-28,Apparel,Pants,South,On-Time,22,4,107.27,200.36,0.05,801.44,429.08,761.37,332.29,43.64
ORD-10015,2023-01-12,Furniture,Chairs,West,On-Time,100,4,365.34,447.13,0.46,1788.52,1461.36,965.80,-495.56,-51.31
ORD-10016,2023-11-08,Electronics,Computers,West,On-Time,38,4,238.66,486.27,0.05,1945.08,954.64,1847.83,893.19,48.34
ORD-10017,2023-12-06,Furniture,Chairs,East,On-Time,115,5,322.87,423.92,0.44,2119.60,1614.35,1186.98,-427.37,-36.01
ORD-10018,2023-01-26,Apparel,Shirts,East,"Delayed - Transit",110,4,280.62,308.34,0.41,1233.36,1122.48,727.68,-394.80,-54.25
ORD-10019,2023-01-28,Apparel,Pants,South,On-Time,39,1,189.95,351.56,0.05,351.56,189.95,333.98,144.03,43.13
ORD-10020,2023-06-22,Furniture,Desks,East,On-Time,80,2,265.50,329.05,0.05,658.10,531.00,625.20,94.20,15.07
ORD-10021,2023-01-02,Apparel,Shirts,West,On-Time,27,5,206.16,365.51,0.00,1827.55,1030.80,1827.55,796.75,43.60
ORD-10022,2023-10-25,Apparel,Shirts,North,On-Time,31,1,189.05,435.07,0.05,435.07,189.05,413.32,224.27,54.26
ORD-10023,2023-12-26,Electronics,Computers,North,"Delayed - Customs",106,2,55.49,65.72,0.48,131.44,110.98,68.35,-42.63,-62.37
ORD-10024,2023-04-08,Electronics,Accessories,South,On-Time,34,2,86.15,200.13,0.00,400.26,172.30,400.26,227.96,56.95
ORD-10025,2023-01-14,Apparel,Shirts,South,On-Time,21,1,91.27,148.69,0.00,148.69,91.27,148.69,57.42,38.62
ORD-10026,2023-12-10,Apparel,Footwear,East,On-Time,35,3,376.70,664.37,0.05,1993.11,1130.10,1893.45,763.35,40.32
ORD-10027,2023-11-06,Electronics,Accessories,North,On-Time,21,1,132.74,300.09,0.00,300.09,132.74,300.09,167.35,55.77
ORD-10028,2023-02-13,Furniture,Tables,West,"Delayed - Customs",138,5,177.65,217.33,0.61,1086.65,888.25,423.79,-464.46,-109.60
ORD-10029,2023-10-04,Apparel,Footwear,South,On-Time,37,5,225.79,363.69,0.00,1818.45,1128.95,1818.45,689.50,37.92
ORD-10030,2023-03-30,Furniture,Tables,South,On-Time,124,1,174.64,202.27,0.51,202.27,174.64,99.11,-75.53,-76.20
ORD-10031,2023-03-08,Electronics,Accessories,South,On-Time,28,3,236.10,494.34,0.05,1483.02,708.30,1408.87,700.57,49.73
ORD-10032,2023-07-27,Furniture,Desks,North,On-Time,119,1,285.91,310.65,0.37,310.65,285.91,195.71,-90.20,-46.09
ORD-10033,2023-10-14,Electronics,Computers,South,On-Time,31,2,187.35,388.10,0.05,776.20,374.70,737.39,362.69,49.19
ORD-10034,2023-01-12,Furniture,Desks,West,"Delayed - Transit",134,3,216.00,268.93,0.62,806.79,648.00,306.58,-341.42,-111.36
ORD-10035,2023-04-16,Apparel,Pants,South,On-Time,46,4,310.64,521.65,0.05,2086.60,1242.56,1982.27,739.71,37.32
ORD-10036,2023-12-11,Electronics,Computers,North,On-Time,30,4,263.93,464.26,0.05,1857.04,1055.72,1764.19,708.47,40.16
ORD-10037,2023-06-28,Apparel,Shirts,South,On-Time,32,5,353.79,700.62,0.05,3503.10,1768.95,3327.95,1559.00,46.85
ORD-10038,2023-11-29,Apparel,Footwear,South,"Delayed - Transit",134,2,234.89,288.47,0.62,576.94,469.78,219.24,-250.54,-114.28
ORD-10039,2023-02-24,Apparel,Footwear,East,"Delayed - Customs",145,5,220.34,263.57,0.62,1317.85,1101.70,500.78,-600.92,-120.00
