order_id,order_date,category,sub_category,region,supply_chain_status,inventory_days,quantity,unit_cost,unit_price,discount_pct,gross_revenue,total_cost,net_revenue,net_profit,profit_margin_pct,season,ai_cluster,ai_risk_profile
ORD-10000,2023-02-10,Furniture,Tables,West,On-Time,131,5,336.05,425.6,0.41,2128.0,1680.25,1255.52,-424.73,-33.83,Winter,0.0,Tier 2: Warning
ORD-10001,2023-10-03,Furniture,Uncategorized,East,Delayed - Customs,107,2,104.46,112.3,0.53,224.6,208.92,105.56,-103.36,-97.91,Fall,2.0,Tier 3: Dead Stock
ORD-10002,2023-04-14,Apparel,Shirts,South,On-Time,30,3,86.98,179.45,0.05,538.35,260.94,511.43,250.49,48.98,Spring,1.0,Tier 1: Fast Mover
ORD-10003,2023-05-21,Apparel,Shirts,East,On-Time,32,3,381.86,715.95,0.0,2147.85,1145.58,2147.85,1002.27,46.66,Spring,1.0,Tier 1: Fast Mover
ORD-10004,2023-10-10,Furniture,Tables,South,On-Time,137,3,285.08,313.39,0.56,940.17,855.24,413.67,-441.57,-106.74,Fall,2.0,Tier 3: Dead Stock
ORD-10005,2023-04-24,Apparel,Pants,East,On-Time,15,5,358.98,642.44,0.05,3212.2,1794.9,3051.59,1256.69,41.18,Spring,1.0,Tier 1: Fast Mover
ORD-10006,2023-08-18,Apparel,Shirts,West,On-Time,13,4,192.53,326.16,0.05,1304.64,770.12,1239.41,469.29,37.86,Summer,1.0,Tier 1: Fast Mover
ORD-10007,2023-02-16,Apparel,Shirts,North,On-Time,43,4,178.46,379.27,0.05,1517.08,713.84,1441.23,727.39,50.47,Winter,1.0,Tier 1: Fast Mover
ORD-10008,2023-01-06,Electronics,Audio,East,Delayed - Transit,114,4,279.59,375.38,0.41,1501.52,1118.36,885.9,-232.46,-26.24,Winter,0.0,Tier 2: Warning
ORD-10009,2023-09-11,Furniture,Desks,South,Delayed - Customs,163,5,170.45,193.17,0.47,965.85,852.25,511.9,-340.35,-66.49,Fall,0.0,Tier 2: Warning
ORD-10010,2023-10-20,Furniture,Chairs,North,On-Time,88,2,274.98,322.75,0.42,645.5,549.96,374.39,-175.57,-46.89,Fall,0.0,Tier 2: Warning
ORD-10011,2023-11-04,Apparel,Pants,North,Delayed - Customs,147,3,150.3,190.89,0.62,572.67,450.9,217.61,-233.29,-107.2,Fall,2.0,Tier 3: Dead Stock
ORD-10012,2023-07-05,Apparel,Footwear,North,On-Time,23,3,332.15,584.64,0.05,1753.92,996.45,1666.22,669.77,40.2,Summer,1.0,Tier 1: Fast Mover
ORD-10013,2023-02-20,Apparel,Shirts,East,On-Time,46,1,262.83,515.39,0.0,515.39,262.83,515.39,252.56,49.0,Winter,1.0,Tier 1: Fast Mover
ORD-10014,2023-07-28,Apparel,Pants,South,On-Time,22,4,107.27,200.36,0.05,801.44,429.08,761.37,332.29,43.64,Summer,1.0,Tier 1: Fast Mover
ORD-10015,2023-01-12,Furniture,Chairs,West,On-Time,100,4,365.34,447.13,0.46,1788.52,1461.36,965.8,-495.56,-51.31,Winter,0.0,Tier 2: Warning
ORD-10016,2023-11-08,Electronics,Computers,West,On-Time,38,4,238.66,486.27,0.05,1945.08,954.64,1847.83,893.19,48.34,Fall,1.0,Tier 1: Fast Mover
ORD-10017,2023-12-06,Furniture,Chairs,East,On-Time,115,5,322.87,423.92,0.44,2119.6,1614.35,1186.98,-427.37,-36.01,Winter,0.0,Tier 2: Warning
ORD-10018,2023-01-26,Apparel,Shirts,East,Delayed - Transit,110,4,280.62,308.34,0.41,1233.36,1122.48,727.68,-394.8,-54.25,Winter,0.0,Tier 2: Warning
ORD-10019,2023-01-28,Apparel,Pants,South,On-Time,39,1,189.95,351.56,0.05,351.56,189.95,333.98,144.03,43.13,Winter,1.0,Tier 1: Fast Mover
ORD-10020,2023-06-22,Furniture,Desks,East,On-Time,80,2,265.5,329.05,0.05,658.1,531.0,625.2,94.2,15.07,Summer,1.0,Tier 1: Fast Mover
ORD-10021,2023-01-02,Apparel,Shirts,West,On-Time,27,5,206.16,365.51,0.0,1827.55,1030.8,1827.55,796.75,43.6,Winter,1.0,Tier 1: Fast Mover
ORD-10022,2023-10-25,Apparel,Shirts,North,On-Time,31,1,189.05,435.07,0.05,435.07,189.05,413.32,224.27,54.26,Fall,1.0,Tier 1: Fast Mover
ORD-10023,2023-12-26,Electronics,Computers,North,Delayed - Customs,106,2,55.49,65.72,0.48,131.44,110.98,68.35,-42.63,-62.37,Winter,0.0,Tier 2: Warning
ORD-10024,2023-04-08,Electronics,Accessories,South,On-Time,34,2,86.15,200.13,0.0,400.26,172.3,400.26,227.96,56.95,Spring,1.0,Tier 1: Fast Mover
ORD-10025,2023-01-14,Apparel,Shirts,South,On-Time,21,1,91.27,148.69,0.0,148.69,91.27,148.69,57.42,38.62,Winter,1.0,Tier 1: Fast Mover
ORD-10026,2023-12-10,Apparel,Footwear,East,On-Time,35,3,376.7,664.37,0.05,1993.11,1130.1,1893.45,763.35,40.32,Winter,1.0,Tier 1: Fast Mover
ORD-10027,2023-11-06,Electronics,Accessories,North,On-Time,21,1,132.74,300.09,0.0,300.09,132.74,300.09,167.35,55.77,Fall,1.0,Tier 1: Fast Mover
ORD-10028,2023-02-13,Furniture,Tables,West,Delayed - Customs,138,5,177.65,217.33,0.61,1086.65,888.25,423.79,-464.46,-109.6,Winter,2.0,Tier 3: Dead Stock
ORD-10029,2023-10-04,Apparel,Footwear,South,On-Time,37,5,225.79,363.69,0.0,1818.45,1128.95,1818.45,689.5,37.92,Fall,1.0,Tier 1: Fast Mover
ORD-10030,2023-03-30,Furniture,Tables,South,On-Time,124,1,174.64,202.27,0.51,202.27,174.64,99.11,-75.53,-76.2,Spring,0.0,Tier 2: Warning
ORD-10031,2023-03-08,Electronics,Accessories,South,On-Time,28,3,236.1,494.34,0.05,1483.02,708.3,1408.87,700.57,49.73,Spring,1.0,Tier 1: Fast Mover
ORD-10032,2023-07-27,Furniture,Desks,North,On-Time,119,1,285.91,310.65,0.37,310.65,285.91,195.71,-90.2,-46.09,Summer,0.0,Tier 2: Warning
ORD-10033,2023-10-14,Electronics,Computers,South,On-Time,31,2,187.35,388.1,0.05,776.2,374.7,737.39,362.69,49.19,Fall,1.0,Tier 1: Fast Mover
ORD-10034,2023-01-12,Furniture,Desks,West,Delayed - Transit,134,3,216.0,268.93,0.62,806.79,648.0,306.58,-341.42,-111.36,Winter,2.0,Tier 3: Dead Stock
ORD-10035,2023-04-16,Apparel,Pants,South,On-Time,46,4,310.64,521.65,0.05,2086.6,1242.56,1982.27,739.71,37.32,Spring,1.0,Tier 1: Fast Mover
ORD-10036,2023-12-11,Electronics,Computers,North,On-Time,30,4,263.93,464.26,0.05,1857.04,1055.72,1764.19,708.47,40.16,Winter,1.0,Tier 1: Fast Mover
ORD-10037,2023-06-28,Apparel,Shirts,South,On-Time,32,5,353.79,700.62,0.05,3503.1,1768.95,3327.95,1559.0,46.85,Summer,1.0,Tier 1: Fast Mover
ORD-10038,2023-11-29,Apparel,Footwear,South,Delayed - Transit,134,2,234.89,288.47,0.62,576.94,469.78,219.24,-250.54,-114.28,Fall,2.0,Tier 3: Dead Stock
ORD-10039,2023-02-24,Apparel,Footwear,East,Delayed - Customs,145,5,220.34,263.57,0.62,1317.85,1101.7,500.78,-600.92,-120.0,Winter,2.0,Tier 3: Dead Stock
ORD-10040,2023-01-14,Apparel,Pants,East,On-Time,31,1,347.95,566.51,0.05,566.51,347.95,538.18,190.23,35.35,Winter,1.0,Tier 1: Fast Mover
ORD-10041,2023-10-25,Apparel,Footwear,West,On-Time,32,4,282.73,580.14,0.0,2320.56,1130.92,2320.56,1189.64,51.27,Fall,1.0,Tier 1: Fast Mover
ORD-10042,2023-08-05,Electronics,Computers,North,On-Time,23,1,191.84,362.92,0.05,362.92,191.84,344.77,152.93,44.36,Summer,1.0,Tier 1: Fast Mover
ORD-10043,2023-03-04,Apparel,Pants,East,Delayed - Transit,107,3,201.29,261.5,0.51,784.5,603.87,384.41,-219.47,-57.09,Spring,0.0,Tier 2: Warning
ORD-10044,2023-01-18,Apparel,Footwear,East,On-Time,46,1,360.12,688.7,0.0,688.7,360.12,688.7,328.58,47.71,Winter,1.0,Tier 1: Fast Mover
ORD-10045,2023-07-10,Apparel,Pants,North,On-Time,30,5,264.93,509.22,0.0,2546.1,1324.65,2546.1,1221.45,47.97,Summer,1.0,Tier 1: Fast Mover
ORD-10046,2023-10-23,Furniture,Desks,North,On-Time,123,2,123.02,135.93,0.41,271.86,246.04,160.4,-85.64,-53.39,Fall,0.0,Tier 2: Warning
ORD-10047,2023-03-21,Furniture,Desks,West,On-Time,118,2,71.87,75.49,0.45,150.98,143.74,83.04,-60.7,-73.1,Spring,0.0,Tier 2: Warning
ORD-10048,2023-04-02,Apparel,Pants,East,On-Time,46,3,39.86,68.12,0.05,204.36,119.58,194.14,74.56,38.41,Spring,1.0,Tier 1: Fast Mover
ORD-10049,2023-09-16,Apparel,Shirts,West,On-Time,36,3,31.64,74.4,0.0,223.2,94.92,223.2,128.28,57.47,Fall,1.0,Tier 1: Fast Mover
ORD-10050,2023-10-22,Electronics,Accessories,South,On-Time,19,5,351.88,651.18,0.05,3255.9,1759.4,3093.11,1333.71,43.12,Fall,1.0,Tier 1: Fast Mover
ORD-10051,2023-05-07,Furniture,Chairs,West,Delayed - Customs,153,4,43.3,50.3,0.45,201.2,173.2,110.66,-62.54,-56.52,Spring,0.0,Tier 2: Warning
ORD-10052,2023-07-10,Electronics,Audio,North,Delayed - Customs,95,4,21.6,26.32,0.37,105.28,86.4,66.33,-20.07,-30.26,Summer,0.0,Tier 2: Warning
ORD-10053,2023-05-14,Furniture,Desks,South,On-Time,139,5,41.62,48.91,0.43,244.55,208.1,139.39,-68.71,-49.29,Spring,0.0,Tier 2: Warning
ORD-10054,2023-09-03,Furniture,Chairs,East,On-Time,104,3,64.49,80.93,0.41,242.79,193.47,143.25,-50.22,-35.06,Fall,0.0,Tier 2: Warning
ORD-10055,2023-10-03,Electronics,Computers,West,On-Time,45,5,243.55,550.92,0.0,2754.6,1217.75,2754.6,1536.85,55.79,Fall,1.0,Tier 1: Fast Mover
ORD-10056,2023-03-06,Furniture,Tables,East,On-Time,115,1,388.56,473.3,0.38,473.3,388.56,293.45,-95.11,-32.41,Spring,0.0,Tier 2: Warning
ORD-10057,2023-07-23,Furniture,Desks,East,On-Time,85,5,120.5,130.62,0.05,653.1,602.5,620.45,17.95,2.89,Summer,0.0,Tier 2: Warning
ORD-10058,2023-11-12,Apparel,Pants,South,On-Time,20,4,53.25,85.85,0.05,343.4,213.0,326.23,113.23,34.71,Fall,1.0,Tier 1: Fast Mover
ORD-10059,2023-05-12,Furniture,Uncategorized,North,On-Time,110,1,339.82,427.14,0.36,427.14,339.82,273.37,-66.45,-24.31,Spring,0.0,Tier 2: Warning
ORD-10060,2023-08-17,Apparel,Footwear,North,On-Time,38,2,200.88,425.11,0.05,850.22,401.76,807.71,405.95,50.26,Summer,1.0,Tier 1: Fast Mover
ORD-10061,2023-01-24,Apparel,Footwear,North,On-Time,12,4,30.11,57.28,0.05,229.12,120.44,217.66,97.22,44.67,Winter,1.0,Tier 1: Fast Mover
ORD-10062,2023-01-15,Electronics,Accessories,North,On-Time,33,4,206.63,410.23,0.05,1640.92,826.52,1558.87,732.35,46.98,Winter,1.0,Tier 1: Fast Mover
ORD-10063,2023-11-03,Furniture,Chairs,North,On-Time,123,1,34.83,39.86,0.37,39.86,34.83,25.11,-9.72,-38.7,Fall,0.0,Tier 2: Warning
ORD-10064,2023-05-12,Electronics,Accessories,South,Delayed - Transit,133,3,353.32,400.71,0.55,1202.13,1059.96,540.96,-519.0,-95.94,Spring,2.0,Tier 3: Dead Stock
ORD-10065,2023-01-12,Electronics,Accessories,East,On-Time,59,3,394.65,644.53,0.0,1933.59,1183.95,1933.59,749.64,38.77,Winter,1.0,Tier 1: Fast Mover
ORD-10066,2023-08-11,Electronics,Computers,West,On-Time,23,5,352.86,703.18,0.05,3515.9,1764.3,3340.11,1575.81,47.18,Summer,1.0,Tier 1: Fast Mover
ORD-10067,2023-02-28,Apparel,Pants,South,On-Time,62,5,167.41,398.58,0.0,1992.9,837.05,1992.9,1155.85,58.0,Winter,1.0,Tier 1: Fast Mover
ORD-10068,2023-06-01,Electronics,Accessories,West,On-Time,34,3,16.6,38.19,0.05,114.57,49.8,108.84,59.04,54.25,Summer,1.0,Tier 1: Fast Mover
ORD-10069,2023-12-29,Electronics,Computers,West,On-Time,17,4,393.89,633.26,0.0,2533.04,1575.56,2533.04,957.48,37.8,Winter,1.0,Tier 1: Fast Mover
ORD-10070,2023-11-05,Furniture,Chairs,East,On-Time,104,3,151.69,171.44,0.45,514.32,455.07,282.88,-172.19,-60.87,Fall,0.0,Tier 2: Warning
ORD-10071,2023-11-16,Apparel,Footwear,North,Delayed - Transit,141,1,207.21,258.16,0.51,258.16,207.21,126.5,-80.71,-63.8,Fall,0.0,Tier 2: Warning
ORD-10072,2023-02-17,Apparel,Pants,West,On-Time,39,1,20.78,43.06,0.05,43.06,20.78,40.91,20.13,49.2,Winter,1.0,Tier 1: Fast Mover
ORD-10073,2023-07-12,Furniture,Chairs,West,Delayed - Customs,156,2,46.66,61.71,0.63,123.42,93.32,45.67,-47.65,-104.36,Summer,2.0,Tier 3: Dead Stock
ORD-10074,2023-01-08,Apparel,Footwear,North,Delayed - Transit,115,5,169.21,208.62,0.39,1043.1,846.05,636.29,-209.76,-32.97,Winter,0.0,Tier 2: Warning
ORD-10075,2023-10-15,Electronics,Audio,South,Delayed - Customs,84,3,121.04,157.68,0.05,473.04,363.12,449.39,86.27,19.2,Fall,1.0,Tier 1: Fast Mover
ORD-10076,2023-04-12,Apparel,Shirts,South,On-Time,42,2,258.94,552.53,0.0,1105.06,517.88,1105.06,587.18,53.14,Spring,1.0,Tier 1: Fast Mover
ORD-10077,2023-04-02,Apparel,Pants,South,On-Time,30,1,380.11,742.68,0.0,742.68,380.11,742.68,362.57,48.82,Spring,1.0,Tier 1: Fast Mover
ORD-10078,2023-09-07,Apparel,Footwear,North,On-Time,11,3,170.02,352.77,0.0,1058.31,510.06,1058.31,548.25,51.8,Fall,1.0,Tier 1: Fast Mover
ORD-10079,2023-06-26,Furniture,Tables,South,On-Time,158,2,297.91,377.75,0.44,755.5,595.82,423.08,-172.74,-40.83,Summer,0.0,Tier 2: Warning
ORD-10080,2023-09-26,Electronics,Computers,West,On-Time,28,5,393.08,915.64,0.05,4578.2,1965.4,4349.29,2383.89,54.81,Fall,1.0,Tier 1: Fast Mover
ORD-10081,2023-02-07,Apparel,Pants,South,On-Time,36,1,100.4,179.06,0.0,179.06,100.4,179.06,78.66,43.93,Winter,1.0,Tier 1: Fast Mover
ORD-10082,2023-08-08,Furniture,Tables,West,On-Time,117,5,334.67,377.84,0.64,1889.2,1673.35,680.11,-993.24,-146.04,Summer,2.0,Tier 3: Dead Stock
ORD-10083,2023-01-29,Apparel,Pants,South,Delayed - Customs,109,5,156.39,197.0,0.41,985.0,781.95,581.15,-200.8,-34.55,Winter,0.0,Tier 2: Warning
ORD-10084,2023-04-16,Electronics,Computers,East,On-Time,47,4,246.52,462.85,0.05,1851.4,986.08,1758.83,772.75,43.94,Spring,1.0,Tier 1: Fast Mover
ORD-10085,2023-01-13,Electronics,Accessories,South,On-Time,23,4,36.98,60.18,0.05,240.72,147.92,228.68,80.76,35.32,Winter,1.0,Tier 1: Fast Mover
ORD-10086,2023-06-02,Furniture,Chairs,South,Delayed - Transit,140,4,288.63,364.76,0.62,1459.04,1154.52,554.44,-600.08,-108.23,Summer,2.0,Tier 3: Dead Stock
ORD-10087,2023-06-24,Apparel,Shirts,West,On-Time,22,1,343.57,564.5,0.0,564.5,343.57,564.5,220.93,39.14,Summer,1.0,Tier 1: Fast Mover
ORD-10088,2023-04-04,Furniture,Desks,West,On-Time,87,3,71.79,83.93,0.61,251.79,215.37,98.2,-117.17,-119.32,Spring,2.0,Tier 3: Dead Stock
ORD-10089,2023-11-01,Apparel,Shirts,East,On-Time,5,2,129.3,292.19,0.05,584.38,258.6,555.16,296.56,53.42,Fall,1.0,Tier 1: Fast Mover
ORD-10090,2023-03-05,Apparel,Pants,North,On-Time,52,3,219.1,518.5,0.0,1555.5,657.3,1555.5,898.2,57.74,Spring,1.0,Tier 1: Fast Mover
ORD-10091,2023-11-24,Apparel,Shirts,West,On-Time,46,1,183.53,420.12,0.05,420.12,183.53,399.11,215.58,54.02,Fall,1.0,Tier 1: Fast Mover
ORD-10092,2023-02-07,Furniture,Chairs,South,On-Time,112,1,242.16,278.75,0.5,278.75,242.16,139.38,-102.79,-73.75,Winter,0.0,Tier 2: Warning
ORD-10093,2023-01-05,Furniture,Desks,West,On-Time,56,2,79.84,89.96,0.05,179.92,159.68,170.92,11.24,6.58,Winter,1.0,Tier 1: Fast Mover
ORD-10094,2023-09-24,Apparel,Footwear,East,On-Time,30,2,80.55,160.45,0.0,320.9,161.1,320.9,159.8,49.8,Fall,1.0,Tier 1: Fast Mover
ORD-10095,2023-11-10,Apparel,Footwear,East,Delayed - Customs,106,5,128.4,160.62,0.57,803.1,642.0,345.33,-296.67,-85.91,Fall,2.0,Tier 3: Dead Stock
ORD-10096,2023-10-01,Furniture,Tables,West,On-Time,116,1,43.5,47.86,0.42,47.86,43.5,27.76,-15.74,-56.71,Fall,0.0,Tier 2: Warning
ORD-10097,2023-08-02,Electronics,Computers,South,On-Time,61,1,124.67,241.87,0.05,241.87,124.67,229.78,105.11,45.74,Summer,1.0,Tier 1: Fast Mover
ORD-10098,2023-12-14,Apparel,Pants,North,Delayed - Transit,116,2,109.51,117.65,0.47,235.3,219.02,124.71,-94.31,-75.62,Winter,0.0,Tier 2: Warning
ORD-10099,2023-10-19,Furniture,Desks,North,Delayed - Transit,108,4,56.38,74.95,0.39,299.8,225.52,182.88,-42.64,-23.32,Fall,0.0,Tier 2: Warning
ORD-10100,2023-12-30,Electronics,Computers,North,On-Time,29,3,273.01,476.72,0.05,1430.16,819.03,1358.65,539.62,39.72,Winter,1.0,Tier 1: Fast Mover
ORD-10101,2023-10-28,Apparel,Shirts,East,On-Time,27,5,177.1,398.77,0.0,1993.85,885.5,1993.85,1108.35,55.59,Fall,1.0,Tier 1: Fast Mover
ORD-10102,2023-01-30,Apparel,Shirts,North,Delayed - Transit,132,4,205.53,263.17,0.58,1052.68,822.12,442.13,-379.99,-85.95,Winter,2.0,Tier 3: Dead Stock
ORD-10103,2023-05-13,Furniture,Chairs,West,On-Time,125,5,16.27,19.85,0.64,99.25,81.35,35.73,-45.62,-127.68,Spring,2.0,Tier 3: Dead Stock
ORD-10104,2023-08-26,Furniture,Chairs,North,On-Time,131,1,28.95,37.46,0.6,37.46,28.95,14.98,-13.97,-93.21,Summer,2.0,Tier 3: Dead Stock
ORD-10105,2023-04-26,Apparel,Footwear,South,On-Time,20,4,166.54,272.32,0.05,1089.28,666.16,1034.82,368.66,35.63,Spring,1.0,Tier 1: Fast Mover
ORD-10106,2023-01-08,Apparel,Pants,East,On-Time,31,5,125.76,233.66,0.0,1168.3,628.8,1168.3,539.5,46.18,Winter,1.0,Tier 1: Fast Mover
ORD-10107,2023-03-29,Furniture,Tables,South,On-Time,190,2,94.28,112.84,0.44,225.68,188.56,126.38,-62.18,-49.2,Spring,0.0,Tier 2: Warning
ORD-10108,2023-11-01,Apparel,Pants,West,On-Time,26,1,140.68,315.84,0.05,315.84,140.68,300.05,159.37,53.11,Fall,1.0,Tier 1: Fast Mover
ORD-10109,2023-12-04,Furniture,Desks,South,On-Time,97,1,398.55,536.62,0.5,536.62,398.55,268.31,-130.24,-48.54,Winter,0.0,Tier 2: Warning
ORD-10110,2023-05-29,Furniture,Tables,West,On-Time,120,3,158.42,173.26,0.35,519.78,475.26,337.86,-137.4,-40.67,Spring,0.0,Tier 2: Warning
ORD-10111,2023-07-01,Furniture,Chairs,East,Delayed - Transit,91,5,177.23,190.97,0.45,954.85,886.15,525.17,-360.98,-68.74,Summer,0.0,Tier 2: Warning
ORD-10112,2023-07-02,Apparel,Footwear,East,Delayed - Customs,136,5,345.69,439.43,0.52,2197.15,1728.45,1054.63,-673.82,-63.89,Summer,0.0,Tier 2: Warning
ORD-10113,2023-02-01,Furniture,Tables,West,On-Time,145,4,106.12,142.55,0.37,570.2,424.48,359.23,-65.25,-18.17,Winter,0.0,Tier 2: Warning
ORD-10114,2023-09-27,Apparel,Shirts,North,On-Time,43,3,158.78,312.13,0.05,936.39,476.34,889.57,413.23,46.45,Fall,1.0,Tier 1: Fast Mover
ORD-10115,2023-03-11,Furniture,Desks,East,On-Time,112,1,231.71,299.98,0.51,299.98,231.71,146.99,-84.72,-57.64,Spring,0.0,Tier 2: Warning
ORD-10116,2023-09-17,Furniture,Tables,East,On-Time,85,2,235.07,269.96,0.05,539.92,470.14,512.92,42.78,8.34,Fall,1.0,Tier 1: Fast Mover
ORD-10117,2023-11-03,Apparel,Pants,South,Delayed - Transit,137,5,82.24,94.94,0.5,474.7,411.2,237.35,-173.85,-73.25,Fall,0.0,Tier 2: Warning
ORD-10118,2023-01-25,Furniture,Desks,East,Delayed - Transit,103,3,159.78,197.32,0.44,591.96,479.34,331.5,-147.84,-44.6,Winter,0.0,Tier 2: Warning
ORD-10119,2023-10-03,Furniture,Chairs,West,Delayed - Transit,97,1,326.27,353.36,0.63,353.36,326.27,130.74,-195.53,-149.55,Fall,2.0,Tier 3: Dead Stock
ORD-10120,2023-12-18,Apparel,Pants,East,On-Time,46,1,377.46,730.82,0.0,730.82,377.46,730.82,353.36,48.35,Winter,1.0,Tier 1: Fast Mover
ORD-10121,2023-03-23,Apparel,Shirts,North,On-Time,33,5,120.72,242.24,0.0,1211.2,603.6,1211.2,607.6,50.17,Spring,1.0,Tier 1: Fast Mover
ORD-10122,2023-06-04,Electronics,Accessories,East,On-Time,27,4,18.22,35.6,0.0,142.4,72.88,142.4,69.52,48.82,Summer,1.0,Tier 1: Fast Mover
ORD-10123,2023-10-03,Apparel,Footwear,East,On-Time,43,1,284.73,475.57,0.0,475.57,284.73,475.57,190.84,40.13,Fall,1.0,Tier 1: Fast Mover
ORD-10124,2023-07-28,Furniture,Tables,West,On-Time,118,4,381.56,431.09,0.53,1724.36,1526.24,810.45,-715.79,-88.32,Summer,2.0,Tier 3: Dead Stock
ORD-10125,2023-04-21,Apparel,Footwear,East,On-Time,22,4,182.81,397.1,0.0,1588.4,731.24,1588.4,857.16,53.96,Spring,1.0,Tier 1: Fast Mover
ORD-10126,2023-12-25,Apparel,Pants,South,Delayed - Customs,135,2,359.71,467.0,0.49,934.0,719.42,476.34,-243.08,-51.03,Winter,0.0,Tier 2: Warning
ORD-10127,2023-01-04,Furniture,Uncategorized,South,On-Time,98,1,73.97,95.97,0.55,95.97,73.97,43.19,-30.78,-71.28,Winter,0.0,Tier 2: Warning
ORD-10128,2023-05-20,Furniture,Chairs,East,On-Time,127,1,46.11,49.62,0.35,49.62,46.11,32.25,-13.86,-42.96,Spring,0.0,Tier 2: Warning
ORD-10129,2023-02-10,Furniture,Chairs,North,On-Time,112,1,375.22,465.61,0.41,465.61,375.22,274.71,-100.51,-36.59,Winter,0.0,Tier 2: Warning
ORD-10130,2023-06-24,Furniture,Desks,West,On-Time,137,5,301.81,321.52,0.48,1607.6,1509.05,835.95,-673.1,-80.52,Summer,2.0,Tier 3: Dead Stock
