Transaction_ID,Purchase_Date,Boutique_City,Product_Line,Customer_Tier,Traffic_Source,Units_Sold,Unit_Retail_Price,Unit_Manufacturing_Cost,Net_Revenue,Total_Cost,Gross_Profit,Profit_Margin_Pct
5001156,2022-01-01,Tokyo,Designer Handbags,Silver,Organic Search,1,3497,874,3497,874,2623,75.0
5007869,2022-01-01,Paris,Fine Jewelry,First-Time Buyer,Exclusive Invite,1,7910,2190,7910,2190,5720,72.3
5005788,2022-01-01,Paris,Fine Jewelry,Gold,Exclusive Invite,1,7772,1989,7772,1989,5783,74.4
5005269,2022-01-01,Dubai,Designer Handbags,Gold,Walk-in,1,3435,665,3435,665,2770,80.6
5009521,2022-01-01,Paris,Luxury Watches,First-Time Buyer,Walk-in,1,14166,2957,14166,2957,11209,79.1
5008170,2022-01-01,New York,Luxury Watches,Gold,Exclusive Invite,1,14596,2742,14596,2742,11854,81.2
5000782,2022-01-01,Tokyo,Designer Handbags,First-Time Buyer,Organic Search,1,2989,632,2989,632,2357,78.9
5005648,2022-01-01,Milan,Designer Handbags,First-Time Buyer,Exclusive Invite,1,3394,732,3394,732,2662,78.4
5004892,2022-01-01,New York,Luxury Watches,First-Time Buyer,Organic Search,1,11887,2932,11887,2932,8955,75.3
5001868,2022-01-01,Paris,Haute Fragrance,First-Time Buyer,Organic Search,1,323,50,323,50,273,84.5
5003687,2022-01-01,Tokyo,Designer Handbags,First-Time Buyer,Walk-in,1,2953,1029,2953,1029,1924,65.2
5007555,2022-01-01,Paris,Luxury Watches,Silver,Paid Social,2,13069,4057,26138,8114,18024,69.0
5005722,2022-01-01,Dubai,Luxury Watches,First-Time Buyer,Exclusive Invite,3,13832,3357,41496,10071,31425,75.7
5005343,2022-01-01,Paris,Designer Handbags,First-Time Buyer,Walk-in,1,3836,954,3836,954,2882,75.1
5007630,2022-01-01,Tokyo,Fine Jewelry,Gold,Walk-in,1,9420,1769,9420,1769,7651,81.2
5005930,2022-01-01,Tokyo,Haute Fragrance,Silver,Organic Search,1,399,122,399,122,277,69.4
5006946,2022-01-01,Dubai,Luxury Watches,Silver,Walk-in,3,13636,4454,40908,13362,27546,67.3
5007201,2022-01-01,New York,Fine Jewelry,Silver,Walk-in,1,9953,2948,9953,2948,7005,70.4
5007077,2022-01-02,Paris,Luxury Watches,Gold,Exclusive Invite,1,12512,2760,12512,2760,9752,77.9
5007100,2022-01-02,New York,Designer Handbags,Gold,Organic Search,1,3269,801,3269,801,2468,75.5
5002930,2022-01-02,New York,Designer Handbags,Silver,Organic Search,2,3066,736,6132,1472,4660,76.0
5000534,2022-01-02,Paris,Haute Fragrance,Platinum (VIP),Organic Search,1,414,111,414,111,303,73.2
5008141,2022-01-02,Tokyo,Luxury Watches,Silver,Organic Search,2,14682,5028,29364,10056,19308,65.8
5005802,2022-01-02,New York,Luxury Watches,First-Time Buyer,Paid Social,2,11771,1939,23542,3878,19664,83.5
5009845,2022-01-02,Milan,Designer Handbags,Gold,Organic Search,1,3786,921,3786,921,2865,75.7
5008011,2022-01-02,New York,Luxury Watches,Silver,Organic Search,3,12504,2902,37512,8706,28806,76.8
5005904,2022-01-02,New York,Designer Handbags,First-Time Buyer,Walk-in,1,3309,986,3309,986,2323,70.2
5009452,2022-01-02,Paris,Fine Jewelry,Silver,Organic Search,1,9667,1861,9667,1861,7806,80.7
5009501,2022-01-02,Paris,Haute Fragrance,Silver,Walk-in,1,360,79,360,79,281,78.1
5001058,2022-01-02,Paris,Haute Fragrance,Silver,Paid Social,1,413,97,413,97,316,76.5
5005315,2022-01-02,Paris,Designer Handbags,Platinum (VIP),Paid Social,3,3281,1101,9843,3303,6540,66.4
5009714,2022-01-02,New York,Luxury Watches,Silver,Walk-in,1,12247,3548,12247,3548,8699,71.0
